['94 ', 'Brasas Rodizio  ', 'De Martes a Domingo ', ' ', '20:00 a 02:00 ', ' ', ' ', ' ', '0 ', '1 ', '2014-12-05 15:39:28 ', '2015-01-15 16:57:37 '],
['95 ', 'Solución Inmobiliaria  ', 'De Lunes a Viernes ', ' ', '10:00 a 14:00 ', ' ', '16:30 a 20:30 ', ' ', '0 ', '1 ', '2014-12-05 15:52:50 ', '2015-01-07 15:47:21 '],
['96 ', 'Francisco de Vitoria  ', 'De Lunes a Viernes ', ' ', '08:30 a 21:00 ', ' ', ' ', ' ', '18 ', '1 ', '2014-12-08 12:51:39 ', '2014-12-08 12:51:39 '],
['97 ', 'Francisco de Vitoria  ', 'Horarios Especiales ', ' ', '20 Diciembre - 7 Enero ', ' ', 'Cerrada ', ' ', '11 ', '1 ', '2014-12-08 12:53:24 ', '2014-12-08 12:53:24 '],
['98 ', 'Francisco de Vitoria  ', 'Horarios Especiales ', ' ', '8 - 11 Enero ', ' ', '08:30-24:00 (jueves a domingo) ', ' ', '10 ', '1 ', '2014-12-08 12:54:20 ', '2014-12-08 12:54:20 '],
['99 ', 'Francisco de Vitoria  ', 'Horarios Especiales ', ' ', '12 - 18 Enero ', ' ', '08:30 - 24:00 (lunes a domingo) ', ' ', '9 ', '1 ', '2014-12-08 12:55:04 ', '2014-12-08 12:55:04 '],
['100 ', 'Francisco de Vitoria  ', 'Horarios Especiales ', ' ', '19 Enero - 1 Febrero ', ' ', '08:30 - 03:00 (lunes a domingo) ', ' ', '6 ', '1 ', '2014-12-08 12:55:54 ', '2014-12-08 14:20:01 '],
['101 ', 'Francisco de Vitoria  ', 'Sábado ', ' ', '09:00 a 13:00 ', ' ', ' ', ' ', '12 ', '1 ', '2014-12-08 12:59:31 ', '2014-12-08 13:13:20 '],
['102 ', 'Santa María de los Ángeles  ', 'De Lunes a Viernes ', ' ', '08:30 a 21:00 ', ' ', ' ', ' ', '15 ', '1 ', '2014-12-08 13:12:34 ', '2014-12-08 13:12:34 '],
['103 ', 'Santa María de los Ángeles  ', 'Sábado ', ' ', '09:00 a 13:00 ', ' ', ' ', ' ', '13 ', '1 ', '2014-12-08 13:13:03 ', '2014-12-08 13:13:03 '],
['104 ', 'Abraham Zacut  ', 'De Lunes a Viernes ', ' ', '08:30 a 21:00 ', ' ', ' ', ' ', '7 ', '1 ', '2014-12-08 14:04:09 ', '2014-12-08 14:04:09 '],
['105 ', 'Abraham Zacut  ', 'Horarios Especiales ', ' ', '8 Enero - 1 Febrero de 2015 ', ' ', '08:30-24:00 (lunes a domingo) ', ' ', '5 ', '1 ', '2014-12-08 14:05:30 ', '2014-12-08 14:05:30 '],
